#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_01_0 , BASE1 , 2000-01-01 , 12:00 , AIR1 , 2000-01-01 , 13:13
LEG_09_7 , AIR4 , 2000-01-09 , 12:20 , BASE2 , 2000-01-09 , 13:26
LEG_09_8 , AIR6 , 2000-01-09 , 17:40 , BASE2 , 2000-01-09 , 20:23
LEG_09_9 , BASE2 , 2000-01-09 , 21:19 , AIR7 , 2000-01-09 , 23:04
LEG_09_10 , AIR8 , 2000-01-09 , 12:40 , BASE1 , 2000-01-09 , 14:30
LEG_09_11 , BASE1 , 2000-01-09 , 15:24 , AIR9 , 2000-01-09 , 18:32
LEG_09_12 , BASE1 , 2000-01-09 , 18:30 , AIR9 , 2000-01-09 , 21:36
LEG_09_13 , AIR10 , 2000-01-09 , 14:20 , BASE1 , 2000-01-09 , 16:49
LEG_09_14 , BASE2 , 2000-01-09 , 21:16 , AIR11 , 2000-01-09 , 23:06
LEG_09_15 , AIR9 , 2000-01-09 , 17:05 , BASE2 , 2000-01-09 , 19:44
LEG_09_16 , AIR2 , 2000-01-09 , 19:30 , BASE1 , 2000-01-09 , 20:54
LEG_09_17 , BASE1 , 2000-01-09 , 22:01 , AIR10 , 2000-01-10 , 00:47
LEG_09_18 , BASE3 , 2000-01-09 , 14:05 , AIR9 , 2000-01-09 , 15:55
LEG_09_19 , AIR9 , 2000-01-09 , 19:20 , BASE3 , 2000-01-09 , 21:18
LEG_09_20 , AIR9 , 2000-01-09 , 23:05 , BASE3 , 2000-01-10 , 00:58
LEG_09_21 , BASE2 , 2000-01-09 , 17:56 , AIR5 , 2000-01-09 , 19:10
LEG_09_22 , AIR6 , 2000-01-09 , 14:00 , BASE2 , 2000-01-09 , 16:41
LEG_09_23 , BASE3 , 2000-01-09 , 22:20 , AIR6 , 2000-01-10 , 00:21
LEG_09_24 , AIR4 , 2000-01-09 , 23:00 , BASE2 , 2000-01-10 , 00:09
LEG_09_25 , BASE2 , 2000-01-09 , 01:04 , AIR12 , 2000-01-09 , 03:46
LEG_09_26 , BASE2 , 2000-01-09 , 17:47 , AIR2 , 2000-01-09 , 18:34
LEG_09_27 , AIR12 , 2000-01-09 , 13:45 , BASE2 , 2000-01-09 , 16:34
LEG_09_28 , AIR12 , 2000-01-09 , 17:00 , BASE2 , 2000-01-09 , 19:52
LEG_09_29 , BASE2 , 2000-01-09 , 21:06 , AIR4 , 2000-01-09 , 22:06
LEG_09_30 , BASE2 , 2000-01-09 , 12:59 , AIR12 , 2000-01-09 , 15:46
LEG_09_31 , BASE2 , 2000-01-09 , 16:13 , AIR3 , 2000-01-09 , 16:59
LEG_09_32 , AIR7 , 2000-01-09 , 10:10 , BASE2 , 2000-01-09 , 12:11
LEG_09_33 , BASE2 , 2000-01-09 , 23:26 , AIR8 , 2000-01-10 , 02:33
LEG_09_34 , AIR2 , 2000-01-09 , 21:00 , BASE2 , 2000-01-09 , 21:51
LEG_09_35 , AIR11 , 2000-01-09 , 00:00 , BASE2 , 2000-01-09 , 01:55
LEG_10_0 , AIR3 , 2000-01-10 , 17:45 , BASE2 , 2000-01-10 , 18:27
LEG_10_1 , BASE2 , 2000-01-10 , 19:24 , AIR2 , 2000-01-10 , 20:15
LEG_10_2 , AIR13 , 2000-01-10 , 13:20 , BASE2 , 2000-01-10 , 15:18
LEG_10_3 , BASE2 , 2000-01-10 , 10:41 , AIR13 , 2000-01-10 , 12:22
LEG_10_4 , AIR5 , 2000-01-10 , 20:35 , BASE2 , 2000-01-10 , 21:49
LEG_10_5 , BASE2 , 2000-01-10 , 23:11 , AIR4 , 2000-01-11 , 00:22
LEG_10_6 , BASE2 , 2000-01-10 , 14:21 , AIR6 , 2000-01-10 , 16:54
LEG_10_7 , AIR4 , 2000-01-10 , 12:20 , BASE2 , 2000-01-10 , 13:26
LEG_10_8 , AIR6 , 2000-01-10 , 17:40 , BASE2 , 2000-01-10 , 20:23
LEG_10_9 , BASE2 , 2000-01-10 , 21:19 , AIR7 , 2000-01-10 , 23:04
LEG_10_10 , AIR8 , 2000-01-10 , 12:40 , BASE1 , 2000-01-10 , 14:30
LEG_10_11 , BASE1 , 2000-01-10 , 15:24 , AIR9 , 2000-01-10 , 18:32
LEG_10_12 , BASE1 , 2000-01-10 , 18:30 , AIR9 , 2000-01-10 , 21:36
LEG_10_13 , AIR10 , 2000-01-10 , 14:20 , BASE1 , 2000-01-10 , 16:49
LEG_10_14 , BASE2 , 2000-01-10 , 21:16 , AIR11 , 2000-01-10 , 23:06
LEG_10_15 , AIR9 , 2000-01-10 , 17:05 , BASE2 , 2000-01-10 , 19:44
LEG_10_16 , AIR2 , 2000-01-10 , 19:30 , BASE1 , 2000-01-10 , 20:54
LEG_10_17 , BASE1 , 2000-01-10 , 22:01 , AIR10 , 2000-01-11 , 00:47
LEG_10_18 , BASE3 , 2000-01-10 , 14:05 , AIR9 , 2000-01-10 , 15:55
LEG_10_19 , AIR9 , 2000-01-10 , 19:20 , BASE3 , 2000-01-10 , 21:18
LEG_10_20 , AIR9 , 2000-01-10 , 23:05 , BASE3 , 2000-01-11 , 00:58
LEG_10_21 , BASE2 , 2000-01-10 , 17:56 , AIR5 , 2000-01-10 , 19:10
LEG_10_22 , AIR6 , 2000-01-10 , 14:00 , BASE2 , 2000-01-10 , 16:41
LEG_10_23 , BASE3 , 2000-01-10 , 22:20 , AIR6 , 2000-01-11 , 00:21
LEG_10_24 , AIR4 , 2000-01-10 , 23:00 , BASE2 , 2000-01-11 , 00:09
LEG_10_25 , BASE2 , 2000-01-10 , 01:04 , AIR12 , 2000-01-10 , 03:46
LEG_10_26 , BASE2 , 2000-01-10 , 17:47 , AIR2 , 2000-01-10 , 18:34
LEG_10_27 , AIR12 , 2000-01-10 , 13:45 , BASE2 , 2000-01-10 , 16:34
LEG_10_28 , AIR12 , 2000-01-10 , 17:00 , BASE2 , 2000-01-10 , 19:52
LEG_10_29 , BASE2 , 2000-01-10 , 21:06 , AIR4 , 2000-01-10 , 22:06
LEG_10_30 , BASE2 , 2000-01-10 , 12:59 , AIR12 , 2000-01-10 , 15:46
LEG_10_31 , BASE2 , 2000-01-10 , 16:13 , AIR3 , 2000-01-10 , 16:59
LEG_10_32 , AIR7 , 2000-01-10 , 10:10 , BASE2 , 2000-01-10 , 12:11
LEG_10_33 , BASE2 , 2000-01-10 , 23:26 , AIR8 , 2000-01-11 , 02:33
LEG_10_34 , AIR2 , 2000-01-10 , 21:00 , BASE2 , 2000-01-10 , 21:51
LEG_10_35 , AIR11 , 2000-01-10 , 00:00 , BASE2 , 2000-01-10 , 01:55
LEG_11_0 , AIR3 , 2000-01-11 , 17:45 , BASE2 , 2000-01-11 , 18:27
LEG_11_1 , BASE2 , 2000-01-11 , 19:24 , AIR2 , 2000-01-11 , 20:15
LEG_11_2 , AIR13 , 2000-01-11 , 13:20 , BASE2 , 2000-01-11 , 15:18
LEG_11_3 , BASE2 , 2000-01-11 , 10:41 , AIR13 , 2000-01-11 , 12:22
LEG_11_4 , AIR5 , 2000-01-11 , 20:35 , BASE2 , 2000-01-11 , 21:49
LEG_11_5 , BASE2 , 2000-01-11 , 23:11 , AIR4 , 2000-01-12 , 00:22
LEG_11_6 , BASE2 , 2000-01-11 , 14:21 , AIR6 , 2000-01-11 , 16:54
LEG_11_7 , AIR4 , 2000-01-11 , 12:20 , BASE2 , 2000-01-11 , 13:26
LEG_11_8 , AIR6 , 2000-01-11 , 17:40 , BASE2 , 2000-01-11 , 20:23
LEG_11_9 , BASE2 , 2000-01-11 , 21:19 , AIR7 , 2000-01-11 , 23:04
LEG_11_10 , AIR8 , 2000-01-11 , 12:40 , BASE1 , 2000-01-11 , 14:30
LEG_11_11 , BASE1 , 2000-01-11 , 15:24 , AIR9 , 2000-01-11 , 18:32
LEG_11_12 , BASE1 , 2000-01-11 , 18:30 , AIR9 , 2000-01-11 , 21:36
LEG_11_13 , AIR10 , 2000-01-11 , 14:20 , BASE1 , 2000-01-11 , 16:49
LEG_11_14 , BASE2 , 2000-01-11 , 21:16 , AIR11 , 2000-01-11 , 23:06
LEG_11_15 , AIR9 , 2000-01-11 , 17:05 , BASE2 , 2000-01-11 , 19:44
LEG_11_16 , AIR2 , 2000-01-11 , 19:30 , BASE1 , 2000-01-11 , 20:54
LEG_11_17 , BASE1 , 2000-01-11 , 22:01 , AIR10 , 2000-01-12 , 00:47
LEG_11_18 , BASE3 , 2000-01-11 , 14:05 , AIR9 , 2000-01-11 , 15:55
LEG_11_19 , AIR9 , 2000-01-11 , 19:20 , BASE3 , 2000-01-11 , 21:18
LEG_11_20 , AIR9 , 2000-01-11 , 23:05 , BASE3 , 2000-01-12 , 00:58
LEG_11_21 , BASE2 , 2000-01-11 , 17:56 , AIR5 , 2000-01-11 , 19:10
LEG_11_22 , AIR6 , 2000-01-11 , 14:00 , BASE2 , 2000-01-11 , 16:41
LEG_11_23 , BASE3 , 2000-01-11 , 22:20 , AIR6 , 2000-01-12 , 00:21
LEG_11_24 , AIR4 , 2000-01-11 , 23:00 , BASE2 , 2000-01-12 , 00:09
LEG_11_25 , BASE2 , 2000-01-11 , 01:04 , AIR12 , 2000-01-11 , 03:46
LEG_11_26 , BASE2 , 2000-01-11 , 17:47 , AIR2 , 2000-01-11 , 18:34
LEG_11_27 , AIR12 , 2000-01-11 , 13:45 , BASE2 , 2000-01-11 , 16:34
LEG_11_28 , AIR12 , 2000-01-11 , 17:00 , BASE2 , 2000-01-11 , 19:52
LEG_11_29 , BASE2 , 2000-01-11 , 21:06 , AIR4 , 2000-01-11 , 22:06
LEG_11_30 , BASE2 , 2000-01-11 , 12:59 , AIR12 , 2000-01-11 , 15:46
LEG_11_31 , BASE2 , 2000-01-11 , 16:13 , AIR3 , 2000-01-11 , 16:59
LEG_11_32 , AIR7 , 2000-01-11 , 10:10 , BASE2 , 2000-01-11 , 12:11
LEG_11_33 , BASE2 , 2000-01-11 , 23:26 , AIR8 , 2000-01-12 , 02:33
LEG_11_34 , AIR2 , 2000-01-11 , 21:00 , BASE2 , 2000-01-11 , 21:51
LEG_11_35 , AIR11 , 2000-01-11 , 00:00 , BASE2 , 2000-01-11 , 01:55
LEG_12_0 , AIR3 , 2000-01-12 , 17:45 , BASE2 , 2000-01-12 , 18:27
LEG_12_1 , AIR13 , 2000-01-12 , 13:20 , BASE2 , 2000-01-12 , 15:18
LEG_12_2 , BASE2 , 2000-01-12 , 10:41 , AIR13 , 2000-01-12 , 12:22
LEG_12_3 , AIR5 , 2000-01-12 , 20:35 , BASE2 , 2000-01-12 , 21:49
LEG_12_4 , BASE2 , 2000-01-12 , 14:21 , AIR6 , 2000-01-12 , 16:54
LEG_12_5 , AIR4 , 2000-01-12 , 12:20 , BASE2 , 2000-01-12 , 13:26
LEG_12_6 , AIR6 , 2000-01-12 , 17:40 , BASE2 , 2000-01-12 , 20:23
LEG_12_7 , AIR8 , 2000-01-12 , 12:40 , BASE1 , 2000-01-12 , 14:30
LEG_12_8 , BASE1 , 2000-01-12 , 15:24 , AIR9 , 2000-01-12 , 18:32
LEG_12_9 , BASE1 , 2000-01-12 , 18:30 , AIR9 , 2000-01-12 , 21:36
LEG_12_10 , AIR10 , 2000-01-12 , 14:20 , BASE1 , 2000-01-12 , 16:49
LEG_12_11 , AIR9 , 2000-01-12 , 17:05 , BASE2 , 2000-01-12 , 19:44
LEG_12_12 , AIR14 , 2000-01-12 , 22:40 , BASE1 , 2000-01-13 , 00:41
LEG_12_13 , AIR2 , 2000-01-12 , 19:30 , BASE1 , 2000-01-12 , 20:54
LEG_12_14 , BASE1 , 2000-01-12 , 22:01 , AIR10 , 2000-01-13 , 00:47
LEG_12_15 , BASE3 , 2000-01-12 , 14:05 , AIR9 , 2000-01-12 , 15:55
LEG_12_16 , AIR9 , 2000-01-12 , 19:20 , BASE3 , 2000-01-12 , 21:18
LEG_12_17 , AIR9 , 2000-01-12 , 23:05 , BASE3 , 2000-01-13 , 00:58
LEG_12_18 , BASE2 , 2000-01-12 , 17:56 , AIR5 , 2000-01-12 , 19:10
LEG_12_19 , AIR6 , 2000-01-12 , 14:00 , BASE2 , 2000-01-12 , 16:41
LEG_12_20 , BASE3 , 2000-01-12 , 22:20 , AIR6 , 2000-01-13 , 00:21
LEG_12_21 , BASE2 , 2000-01-12 , 20:57 , AIR14 , 2000-01-12 , 21:48
LEG_12_22 , BASE2 , 2000-01-12 , 01:04 , AIR12 , 2000-01-12 , 03:46
LEG_12_23 , BASE2 , 2000-01-12 , 17:47 , AIR2 , 2000-01-12 , 18:34
LEG_12_24 , AIR12 , 2000-01-12 , 13:45 , BASE2 , 2000-01-12 , 16:34
LEG_12_25 , AIR12 , 2000-01-12 , 17:00 , BASE2 , 2000-01-12 , 19:52
LEG_12_26 , BASE2 , 2000-01-12 , 12:59 , AIR12 , 2000-01-12 , 15:46
LEG_12_27 , BASE2 , 2000-01-12 , 16:13 , AIR3 , 2000-01-12 , 16:59
LEG_12_28 , AIR7 , 2000-01-12 , 10:10 , BASE2 , 2000-01-12 , 12:11
LEG_12_29 , BASE2 , 2000-01-12 , 19:21 , AIR8 , 2000-01-12 , 22:27
LEG_12_30 , AIR11 , 2000-01-12 , 00:00 , BASE2 , 2000-01-12 , 01:55
LEG_13_0 , AIR15 , 2000-01-13 , 21:05 , BASE1 , 2000-01-14 , 00:21
LEG_13_1 , BASE1 , 2000-01-13 , 12:18 , AIR16 , 2000-01-13 , 13:47
LEG_13_2 , AIR3 , 2000-01-13 , 17:45 , BASE2 , 2000-01-13 , 18:27
LEG_13_3 , BASE2 , 2000-01-13 , 19:24 , AIR2 , 2000-01-13 , 20:15
LEG_13_4 , AIR5 , 2000-01-13 , 20:35 , BASE2 , 2000-01-13 , 21:49
LEG_13_5 , BASE2 , 2000-01-13 , 23:11 , AIR4 , 2000-01-14 , 00:22
LEG_13_6 , BASE2 , 2000-01-13 , 21:19 , AIR7 , 2000-01-13 , 23:04
LEG_13_7 , AIR8 , 2000-01-13 , 12:40 , BASE1 , 2000-01-13 , 14:30
LEG_13_8 , BASE1 , 2000-01-13 , 15:24 , AIR9 , 2000-01-13 , 18:32
LEG_13_9 , BASE1 , 2000-01-13 , 18:30 , AIR9 , 2000-01-13 , 21:36
LEG_13_10 , AIR10 , 2000-01-13 , 14:20 , BASE1 , 2000-01-13 , 16:49
LEG_13_11 , AIR9 , 2000-01-13 , 17:05 , BASE2 , 2000-01-13 , 19:44
LEG_13_12 , AIR16 , 2000-01-13 , 14:55 , BASE2 , 2000-01-13 , 16:47
LEG_13_13 , AIR2 , 2000-01-13 , 19:30 , BASE1 , 2000-01-13 , 20:54
LEG_13_14 , BASE1 , 2000-01-13 , 22:01 , AIR10 , 2000-01-14 , 00:47
LEG_13_15 , BASE3 , 2000-01-13 , 14:05 , AIR9 , 2000-01-13 , 15:55
LEG_13_16 , AIR9 , 2000-01-13 , 19:20 , BASE3 , 2000-01-13 , 21:18
LEG_13_17 , AIR9 , 2000-01-13 , 23:05 , BASE3 , 2000-01-14 , 00:58
LEG_13_18 , BASE2 , 2000-01-13 , 17:56 , AIR5 , 2000-01-13 , 19:10
LEG_13_19 , AIR6 , 2000-01-13 , 14:00 , BASE2 , 2000-01-13 , 16:41
LEG_13_20 , BASE3 , 2000-01-13 , 22:20 , AIR6 , 2000-01-14 , 00:21
LEG_13_21 , AIR4 , 2000-01-13 , 23:00 , BASE2 , 2000-01-14 , 00:09
LEG_13_22 , BASE2 , 2000-01-13 , 01:04 , AIR12 , 2000-01-13 , 03:46
LEG_13_23 , BASE2 , 2000-01-13 , 17:47 , AIR2 , 2000-01-13 , 18:34
LEG_13_24 , AIR12 , 2000-01-13 , 13:45 , BASE2 , 2000-01-13 , 16:34
LEG_13_25 , AIR12 , 2000-01-13 , 17:00 , BASE2 , 2000-01-13 , 19:52
LEG_13_26 , BASE2 , 2000-01-13 , 21:06 , AIR4 , 2000-01-13 , 22:06
LEG_13_27 , BASE2 , 2000-01-13 , 12:59 , AIR12 , 2000-01-13 , 15:46
LEG_13_28 , BASE2 , 2000-01-13 , 16:13 , AIR3 , 2000-01-13 , 16:59
LEG_13_29 , BASE2 , 2000-01-13 , 17:53 , AIR15 , 2000-01-13 , 19:45
LEG_13_30 , BASE2 , 2000-01-13 , 23:26 , AIR8 , 2000-01-14 , 02:33
LEG_13_31 , AIR2 , 2000-01-13 , 21:00 , BASE2 , 2000-01-13 , 21:51
LEG_14_0 , BASE1 , 2000-01-14 , 12:00 , AIR1 , 2000-01-14 , 13:13
LEG_14_1 , AIR1 , 2000-01-14 , 14:05 , BASE2 , 2000-01-14 , 15:19
LEG_14_2 , AIR17 , 2000-01-14 , 23:15 , BASE1 , 2000-01-15 , 01:03
LEG_14_3 , BASE2 , 2000-01-14 , 21:07 , AIR17 , 2000-01-14 , 22:11
LEG_14_4 , AIR3 , 2000-01-14 , 17:45 , BASE2 , 2000-01-14 , 18:27
LEG_14_5 , BASE2 , 2000-01-14 , 19:24 , AIR2 , 2000-01-14 , 20:15
LEG_14_6 , AIR5 , 2000-01-14 , 20:35 , BASE2 , 2000-01-14 , 21:49
LEG_14_7 , BASE2 , 2000-01-14 , 23:11 , AIR4 , 2000-01-15 , 00:22
LEG_14_8 , BASE2 , 2000-01-14 , 14:21 , AIR6 , 2000-01-14 , 16:54
LEG_14_9 , AIR4 , 2000-01-14 , 12:20 , BASE2 , 2000-01-14 , 13:26
LEG_14_10 , AIR6 , 2000-01-14 , 17:40 , BASE2 , 2000-01-14 , 20:23
LEG_14_11 , AIR8 , 2000-01-14 , 12:40 , BASE1 , 2000-01-14 , 14:30
LEG_14_12 , BASE1 , 2000-01-14 , 15:24 , AIR9 , 2000-01-14 , 18:32
LEG_14_13 , BASE1 , 2000-01-14 , 18:30 , AIR9 , 2000-01-14 , 21:36
LEG_14_14 , AIR10 , 2000-01-14 , 14:20 , BASE1 , 2000-01-14 , 16:49
LEG_14_15 , BASE2 , 2000-01-14 , 21:16 , AIR11 , 2000-01-14 , 23:06
LEG_14_16 , AIR9 , 2000-01-14 , 17:05 , BASE2 , 2000-01-14 , 19:44
LEG_14_17 , AIR2 , 2000-01-14 , 19:30 , BASE1 , 2000-01-14 , 20:54
LEG_14_18 , BASE1 , 2000-01-14 , 22:01 , AIR10 , 2000-01-15 , 00:47
LEG_14_19 , BASE3 , 2000-01-14 , 14:05 , AIR9 , 2000-01-14 , 15:55
LEG_14_20 , AIR9 , 2000-01-14 , 19:20 , BASE3 , 2000-01-14 , 21:18
LEG_14_21 , AIR9 , 2000-01-14 , 23:05 , BASE3 , 2000-01-15 , 00:58
LEG_14_22 , BASE2 , 2000-01-14 , 17:56 , AIR5 , 2000-01-14 , 19:10
LEG_14_23 , AIR6 , 2000-01-14 , 14:00 , BASE2 , 2000-01-14 , 16:41
LEG_14_24 , BASE3 , 2000-01-14 , 22:20 , AIR6 , 2000-01-15 , 00:21
LEG_14_25 , AIR4 , 2000-01-14 , 23:00 , BASE2 , 2000-01-15 , 00:09
LEG_14_26 , BASE2 , 2000-01-14 , 01:04 , AIR12 , 2000-01-14 , 03:46
LEG_14_27 , BASE2 , 2000-01-14 , 17:47 , AIR2 , 2000-01-14 , 18:34
LEG_14_28 , AIR12 , 2000-01-14 , 13:45 , BASE2 , 2000-01-14 , 16:34
LEG_14_29 , AIR12 , 2000-01-14 , 17:00 , BASE2 , 2000-01-14 , 19:52
LEG_14_30 , BASE2 , 2000-01-14 , 21:06 , AIR4 , 2000-01-14 , 22:06
LEG_14_31 , BASE2 , 2000-01-14 , 12:59 , AIR12 , 2000-01-14 , 15:46
LEG_14_32 , BASE2 , 2000-01-14 , 16:13 , AIR3 , 2000-01-14 , 16:59
LEG_14_33 , AIR7 , 2000-01-14 , 10:10 , BASE2 , 2000-01-14 , 12:11
LEG_14_34 , BASE2 , 2000-01-14 , 23:26 , AIR8 , 2000-01-15 , 02:33
LEG_14_35 , AIR2 , 2000-01-14 , 21:00 , BASE2 , 2000-01-14 , 21:51
LEG_15_0 , AIR3 , 2000-01-15 , 17:45 , BASE2 , 2000-01-15 , 18:27
LEG_15_1 , BASE2 , 2000-01-15 , 19:24 , AIR2 , 2000-01-15 , 20:15
LEG_15_2 , AIR13 , 2000-01-15 , 13:20 , BASE2 , 2000-01-15 , 15:18
LEG_15_3 , BASE2 , 2000-01-15 , 10:41 , AIR13 , 2000-01-15 , 12:22
LEG_15_4 , AIR5 , 2000-01-15 , 20:35 , BASE2 , 2000-01-15 , 21:49
LEG_15_5 , BASE2 , 2000-01-15 , 23:11 , AIR4 , 2000-01-16 , 00:22
LEG_15_6 , AIR4 , 2000-01-15 , 23:00 , BASE2 , 2000-01-16 , 00:09
LEG_15_7 , BASE2 , 2000-01-15 , 14:21 , AIR6 , 2000-01-15 , 16:54
LEG_15_8 , AIR4 , 2000-01-15 , 12:20 , BASE2 , 2000-01-15 , 13:26
LEG_15_9 , AIR6 , 2000-01-15 , 17:40 , BASE2 , 2000-01-15 , 20:23
LEG_15_10 , BASE2 , 2000-01-15 , 21:16 , AIR11 , 2000-01-15 , 23:06
LEG_15_11 , AIR8 , 2000-01-15 , 12:40 , BASE1 , 2000-01-15 , 14:30
LEG_15_12 , BASE1 , 2000-01-15 , 15:24 , AIR9 , 2000-01-15 , 18:32
LEG_15_13 , BASE1 , 2000-01-15 , 18:30 , AIR9 , 2000-01-15 , 21:36
LEG_15_14 , AIR10 , 2000-01-15 , 14:20 , BASE1 , 2000-01-15 , 16:49
LEG_15_15 , AIR9 , 2000-01-15 , 17:05 , BASE2 , 2000-01-15 , 19:44
LEG_15_16 , BASE2 , 2000-01-15 , 21:06 , AIR4 , 2000-01-15 , 22:06
LEG_15_17 , BASE2 , 2000-01-15 , 00:59 , AIR2 , 2000-01-15 , 01:52
LEG_15_18 , AIR2 , 2000-01-15 , 19:30 , BASE1 , 2000-01-15 , 20:54
LEG_15_19 , BASE1 , 2000-01-15 , 22:01 , AIR10 , 2000-01-16 , 00:47
LEG_15_20 , BASE3 , 2000-01-15 , 14:05 , AIR9 , 2000-01-15 , 15:55
LEG_15_21 , AIR9 , 2000-01-15 , 19:20 , BASE3 , 2000-01-15 , 21:18
LEG_15_22 , AIR9 , 2000-01-15 , 23:05 , BASE3 , 2000-01-16 , 00:58
LEG_15_23 , BASE2 , 2000-01-15 , 17:47 , AIR2 , 2000-01-15 , 18:34
LEG_15_24 , AIR6 , 2000-01-15 , 14:00 , BASE2 , 2000-01-15 , 16:41
LEG_15_25 , BASE3 , 2000-01-15 , 22:20 , AIR6 , 2000-01-16 , 00:21
LEG_15_26 , AIR2 , 2000-01-15 , 11:10 , BASE2 , 2000-01-15 , 11:57
LEG_15_27 , BASE2 , 2000-01-15 , 13:12 , AIR17 , 2000-01-15 , 14:25
LEG_15_28 , AIR17 , 2000-01-15 , 15:40 , BASE2 , 2000-01-15 , 16:54
LEG_15_29 , BASE2 , 2000-01-15 , 17:56 , AIR5 , 2000-01-15 , 19:10
LEG_15_30 , BASE2 , 2000-01-15 , 16:13 , AIR3 , 2000-01-15 , 16:59
LEG_15_31 , BASE2 , 2000-01-15 , 23:26 , AIR8 , 2000-01-16 , 02:33
LEG_15_32 , AIR2 , 2000-01-15 , 21:00 , BASE2 , 2000-01-15 , 21:51
LEG_15_33 , AIR11 , 2000-01-15 , 00:00 , BASE2 , 2000-01-15 , 01:55
LEG_16_0 , AIR3 , 2000-01-16 , 17:45 , BASE2 , 2000-01-16 , 18:27
LEG_16_1 , BASE2 , 2000-01-16 , 19:24 , AIR2 , 2000-01-16 , 20:15
LEG_16_2 , AIR13 , 2000-01-16 , 13:20 , BASE2 , 2000-01-16 , 15:18
LEG_16_3 , BASE2 , 2000-01-16 , 10:41 , AIR13 , 2000-01-16 , 12:22
LEG_16_4 , AIR5 , 2000-01-16 , 20:35 , BASE2 , 2000-01-16 , 21:49
LEG_16_5 , BASE2 , 2000-01-16 , 23:11 , AIR4 , 2000-01-17 , 00:22
LEG_16_6 , AIR4 , 2000-01-16 , 23:00 , BASE2 , 2000-01-17 , 00:09
LEG_16_7 , BASE2 , 2000-01-16 , 14:21 , AIR6 , 2000-01-16 , 16:54
LEG_16_8 , AIR4 , 2000-01-16 , 12:20 , BASE2 , 2000-01-16 , 13:26
LEG_16_9 , AIR6 , 2000-01-16 , 17:40 , BASE2 , 2000-01-16 , 20:23
LEG_16_10 , BASE2 , 2000-01-16 , 21:16 , AIR11 , 2000-01-16 , 23:06
LEG_16_11 , AIR8 , 2000-01-16 , 12:40 , BASE1 , 2000-01-16 , 14:30
LEG_16_12 , BASE1 , 2000-01-16 , 15:24 , AIR9 , 2000-01-16 , 18:32
LEG_16_13 , BASE1 , 2000-01-16 , 18:30 , AIR9 , 2000-01-16 , 21:36
LEG_16_14 , AIR10 , 2000-01-16 , 14:20 , BASE1 , 2000-01-16 , 16:49
LEG_16_15 , AIR9 , 2000-01-16 , 17:05 , BASE2 , 2000-01-16 , 19:44
LEG_16_16 , BASE2 , 2000-01-16 , 21:06 , AIR4 , 2000-01-16 , 22:06
LEG_16_17 , BASE2 , 2000-01-16 , 00:59 , AIR2 , 2000-01-16 , 01:52
LEG_16_18 , AIR2 , 2000-01-16 , 19:30 , BASE1 , 2000-01-16 , 20:54
LEG_16_19 , BASE1 , 2000-01-16 , 22:01 , AIR10 , 2000-01-17 , 00:47
LEG_16_20 , BASE3 , 2000-01-16 , 14:05 , AIR9 , 2000-01-16 , 15:55
LEG_16_21 , AIR9 , 2000-01-16 , 19:20 , BASE3 , 2000-01-16 , 21:18
LEG_16_22 , AIR9 , 2000-01-16 , 23:05 , BASE3 , 2000-01-17 , 00:58
LEG_16_23 , BASE2 , 2000-01-16 , 17:47 , AIR2 , 2000-01-16 , 18:34
LEG_16_24 , AIR6 , 2000-01-16 , 14:00 , BASE2 , 2000-01-16 , 16:41
LEG_16_25 , BASE3 , 2000-01-16 , 22:20 , AIR6 , 2000-01-17 , 00:21
LEG_16_26 , AIR2 , 2000-01-16 , 11:10 , BASE2 , 2000-01-16 , 11:57
LEG_16_27 , BASE2 , 2000-01-16 , 13:12 , AIR17 , 2000-01-16 , 14:25
LEG_16_28 , AIR17 , 2000-01-16 , 15:40 , BASE2 , 2000-01-16 , 16:54
LEG_16_29 , BASE2 , 2000-01-16 , 17:56 , AIR5 , 2000-01-16 , 19:10
LEG_16_30 , BASE2 , 2000-01-16 , 16:13 , AIR3 , 2000-01-16 , 16:59
LEG_16_31 , BASE2 , 2000-01-16 , 23:26 , AIR8 , 2000-01-17 , 02:33
LEG_16_32 , AIR2 , 2000-01-16 , 21:00 , BASE2 , 2000-01-16 , 21:51
LEG_16_33 , AIR11 , 2000-01-16 , 00:00 , BASE2 , 2000-01-16 , 01:55
LEG_17_0 , AIR3 , 2000-01-17 , 17:45 , BASE2 , 2000-01-17 , 18:27
LEG_17_1 , BASE2 , 2000-01-17 , 19:24 , AIR2 , 2000-01-17 , 20:15
LEG_17_2 , AIR13 , 2000-01-17 , 13:20 , BASE2 , 2000-01-17 , 15:18
LEG_17_3 , BASE2 , 2000-01-17 , 10:41 , AIR13 , 2000-01-17 , 12:22
LEG_17_4 , AIR5 , 2000-01-17 , 20:35 , BASE2 , 2000-01-17 , 21:49
LEG_17_5 , BASE2 , 2000-01-17 , 23:11 , AIR4 , 2000-01-18 , 00:22
LEG_17_6 , AIR4 , 2000-01-17 , 23:00 , BASE2 , 2000-01-18 , 00:09
LEG_17_7 , BASE2 , 2000-01-17 , 14:21 , AIR6 , 2000-01-17 , 16:54
LEG_17_8 , AIR4 , 2000-01-17 , 12:20 , BASE2 , 2000-01-17 , 13:26
LEG_17_9 , AIR6 , 2000-01-17 , 17:40 , BASE2 , 2000-01-17 , 20:23
